gutenberg id,title,authors
10084,Kazan,"frozenset({'Curwood, James Oliver'})"
10085,Moorish Literature,frozenset()
10086,The Minute Boys of the Mohawk Valley,"frozenset({'Otis, James'})"
10087,Old Lady Number 31,"frozenset({'Forsslund, Louise'})"
10088,Thaumaturgia,frozenset({'Oxonian'})
10089,Elves and Heroes,"frozenset({'Mackenzie, Donald A. (Donald Alexander)'})"
10090,Peaceless Europe,"frozenset({'Nitti, Francesco Saverio'})"
10091,"Punchinello, Vol. II., Issue 31, October 29, 1870",frozenset({'Various'})
10092,"Punchinello Vol. II., No. 30,  October 22, 1870",frozenset({'Various'})
10093,Gutta-Percha Willie,"frozenset({'MacDonald, George'})"
10094,A Soldier of Virginia ,"frozenset({'Stevenson, Burton Egbert'})"
10095,"The Twilight of the Gods, and Other Tales","frozenset({'Garnett, Richard'})"
10096,The Trojan women of Euripides,frozenset({'Euripides'})
10097,The Healing of Nations and the Hidden Sources of Their Strife,"frozenset({'Carpenter, Edward'})"
10098,How Jerusalem Was Won,"frozenset({'Massey, W. T. (William Thomas)'})"
10099,Towards The Goal,"frozenset({'Ward, Humphry, Mrs.'})"
10100,Byron,"frozenset({'Nichol, John'})"
10101,A Little Boy Lost,"frozenset({'Hudson, W. H. (William Henry)'})"
10102,The Czar's Spy,"frozenset({'Le Queux, William'})"
10103,"The Great Events by Famous Historians, Vol. 8",frozenset()
10104,"Punchinello, Vol. 2., No. 32,  November 5, 1870",frozenset({'Various'})
10105,"Punchinello, Vol. II., No. 33, November 12, 1870",frozenset({'Various'})
10106,"Punchinello, Vol. II., No. 34, November 19, 1870",frozenset({'Various'})
10107,With British Guns in Italy,"frozenset({'Dalton, Hugh Dalton, Baron'})"
10108,A Treatise Of Daunses,frozenset({'Anonymous'})
10109,The Unspeakable Gentleman ,"frozenset({'Marquand, John P. (John Phillips)'})"
10110,The Postmaster's Daughter,"frozenset({'Tracy, Louis'})"
10111,Boys and girls from Thackeray ,"frozenset({'Sweetser, Kate Dickinson'})"
10112,American Political Ideas Viewed From The Standpoint Of Universal History,"frozenset({'Fiske, John'})"
10114,"The Great Events by Famous Historians, Vol. 2",frozenset()
10116,All Saints' Day and Other Sermons,"frozenset({'Kingsley, Charles'})"
10118,The Folk-lore of Plants,"frozenset({'Thiselton-Dyer, T. F. (Thomas Firminger)'})"
10119,Adonais,"frozenset({'Shelley, Percy Bysshe'})"
10120,England of My Heart--Spring,"frozenset({'Hutton, Edward'})"
10121,Oriental Literature,frozenset()
10122,Fairies and Fusiliers,"frozenset({'Graves, Robert'})"
10123,Aunt Jane's Nieces,"frozenset({'Baum, L. Frank (Lyman Frank)'})"
10124,Aunt Jane's Nieces and Uncle John,"frozenset({'Baum, L. Frank (Lyman Frank)'})"
10125,The Best Letters of Charles Lamb,"frozenset({'Lamb, Charles'})"
10126,Home-Life of the Lancashire Factory Folk during the Cotton Famine,"frozenset({'Waugh, Edwin'})"
10127,Abducted to Oz,"frozenset({'Dulabone, Chris', 'Evans, Robert J.'})"
10128,"The Great Events by Famous Historians, Vol. 17",frozenset()
10129,Excellent Women,frozenset({'Various'})
10130,Books for Children,"frozenset({'Lamb, Mary', 'Lamb, Charles'})"
10131,Required Poems for Reading and Memorizing,frozenset({'Anonymous'})
10132,The Sowers,"frozenset({'Merriman, Henry Seton'})"
